kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskNew;taskDelivered;;25;1556952408000;1556952408000;1556952408000.0
taskDelivered;taskComplete;;25;1556952408000;1556952408000;1556952408000.0
taskComplete;taskOperation;;17;1556952396000;1556952396000;1556952396000.0
taskOperation;taskCostSpent;;25;1556952408000;1556952408000;1556952408000.0
taskCostSpent;taskAssigned;;25;1556953199000;1556953199000;1556953199000.0
taskAssigned;taskCostSpent;;25;1556952408000;1556952408000;1556952408000.0
taskCostSpent;taskDelivered;;25;1556953199000;1556953199000;1556953199000.0
taskDelivered;taskOperation;;14;1556952374000;1556952374000;1556952374000.0
taskOperation;taskSupported;;14;1556952374000;1556952374000;1556952374000.0
taskSupported;taskSupported;;14;1556952974000;1556952974000;1556952974000.0
taskSupported;taskCostSpent;;14;1556952974000;1556952974000;1556952974000.0
taskCostSpent;taskComplete;;14;1556952974000;1556952974000;1556952974000.0
taskComplete;taskDelivered;;4;1556952384000;1556952384000;1556952384000.0
taskDelivered;taskOperation;;17;1556952456000;1556952456000;1556952456000.0
taskOperation;taskSupported;;17;1556952456000;1556952456000;1556952456000.0
taskSupported;taskSupported;;17;1556953056000;1556953056000;1556953056000.0
taskSupported;taskCostSpent;;17;1556953056000;1556953056000;1556953056000.0
taskCostSpent;taskDelivered;;17;1556953056000;1556953056000;1556953056000.0
taskDelivered;taskOperation;;4;1556952444000;1556952444000;1556952444000.0
taskOperation;taskSupported;;4;1556952444000;1556952444000;1556952444000.0
taskSupported;taskCostSpent;;4;1556952504000;1556952504000;1556952504000.0
taskCostSpent;taskComplete;;4;1556952504000;1556952504000;1556952504000.0
taskComplete;taskComplete;;6;1556952510000;1556952510000;1556952510000.0
taskComplete;taskComplete;;7;1556952495000;1556952495000;1556952495000.0
taskComplete;taskFinished;;4;1556952504000;1556952504000;1556952504000.0
taskFinished;taskComplete;;4;1556952504000;1556952504000;1556952504000.0
taskComplete;taskDelivered;;18;1556952559000;1556952559000;1556952559000.0
taskDelivered;taskOperation;;6;1556952570000;1556952570000;1556952570000.0
taskOperation;taskCostSpent;;6;1556952570000;1556952570000;1556952570000.0
taskCostSpent;taskAssigned;;6;1556953350000;1556953350000;1556953350000.0
taskAssigned;taskCostSpent;;6;1556952570000;1556952570000;1556952570000.0
taskCostSpent;taskDelivered;;6;1556953350000;1556953350000;1556953350000.0
taskDelivered;taskOperation;;7;1556952555000;1556952555000;1556952555000.0
taskOperation;taskSupported;;7;1556952555000;1556952555000;1556952555000.0
taskSupported;taskCostSpent;;7;1556952615000;1556952615000;1556952615000.0
taskCostSpent;taskDelivered;;7;1556952615000;1556952615000;1556952615000.0
taskDelivered;taskOperation;;18;1556952619000;1556952619000;1556952619000.0
taskOperation;taskSupported;;18;1556952619000;1556952619000;1556952619000.0
taskSupported;taskSupported;;18;1556953219000;1556953219000;1556953219000.0
taskSupported;taskCostSpent;;18;1556953219000;1556953219000;1556953219000.0
taskCostSpent;taskComplete;;18;1556953219000;1556953219000;1556953219000.0
taskComplete;taskFinished;;7;1556952615000;1556952615000;1556952615000.0
taskFinished;taskNew;;7;1556952615000;1556952615000;1556952615000.0
taskNew;taskDelivered;;26;1556952699000;1556952699000;1556952699000.0
taskDelivered;taskComplete;;26;1556952699000;1556952699000;1556952699000.0
taskComplete;taskOperation;;19;1556952683000;1556952683000;1556952683000.0
taskOperation;taskCostSpent;;26;1556952699000;1556952699000;1556952699000.0
taskCostSpent;taskAssigned;;26;1556953368000;1556953368000;1556953368000.0
taskAssigned;taskCostSpent;;26;1556952699000;1556952699000;1556952699000.0
taskCostSpent;taskComplete;;26;1556953368000;1556953368000;1556953368000.0
